"source","text","fr"
"mad_download.json","Malaria Slide result","Résultat de la goutte epaisse du paludisme"
"mad_download.json","Plague RDT result","Résultat Plague TDR"
"mad_download.json","Type of plague","Type de peste"
"mad_download.json","Did the patient receive HIV counselling and testing?","Est-ce que le patient at-il reçu des conseils et dépistage du VIH?"
"mad_download.json","What is the HIV status of the patient?","Quel est le statut VIH du patient?"
"mad_download.json","Number of medicines prescribed","Nombre de médicaments prescrits"
"mad_download.json","Name of Medicine 1 prescribed","Nom de médecine 1 prescrit"
"mad_download.json","Dose of Medicine 1 prescribed","Dose de médecine 1 prescrite"
"mad_download.json","Availability of Medicine 1 prescribed","Disponibilité de médecine 1 prescrit"
"mad_download.json","Name of Medicine 2 prescribed","Nom de médecine 2 prescrit"
"mad_download.json","Dose of Medicine 2 prescribed","Dose de médecine 2 prescrite"
"mad_download.json","Availability of Medicine 2 prescribed","Disponibilité de médecine 2 prescrit"
"mad_download.json","Name of Medicine 3 prescribed","Nom de médecine 3 prescrit"
"mad_download.json","Dose of Medicine 3 prescribed","Dose de médecine 3 prescrite"
"mad_download.json","Availability of Medicine 3 prescribed","Disponibilité de médecine 3 prescrit"
"mad_download.json","Name of Medicine 4 prescribed","Nom de médecine 4 prescrit"
"mad_download.json","Dose of Medicine 4 prescribed","Dose de médecine 4 prescrite"
"mad_download.json","Availability of Medicine 4 prescribed","Disponibilité de médecine 4 prescrit"
"mad_download.json","Name of Medicine 5 prescribed","Nom de médecine 5 prescrit"
"mad_download.json","Dose of Medicine 5 prescribed","Dose de médecine 5 prescrite"
"mad_download.json","Availability of Medicine 5 prescribed","Disponibilité de médecine 5 prescrit"
"mad_download.json","Visit Type","Type de visite"
"mad_download.json","Visit Date","Date de visite"
"mad_download.json","Epi Week","Epi semaine"
"mad_download.json","Month","Mois"
"mad_download.json","Year","An"
"mad_download.json","Region","Région"
"mad_download.json","District","District"
"mad_download.json","Clinic","Clinique"
"mad_download.json","Status","Statut"
"mad_download.json","Gender","Sexe"
"mad_download.json","Age (Years)","Age (Années)"
"mad_download.json","Age (Months)","Age (mois)"
"mad_download.json","Nationality","Nationalité"
"mad_download.json","Disease","Maladie"
"mad_download.json","ICD 10 Code","CIM 10 Code"
"mad_download.json","ASK: Does the mother breastfeed the child?","Est-ce que la mère allaite l'enfant?"
"mad_download.json","ASK: Does the mother exclusively breastfeed the child?","Est-ce que la mère exclusivement allaiter l'enfant?"
"mad_download.json","ASK: Why not?","Pourquoi pas?"
"mad_download.json","ASK: Is the mother providing an infant formula?","Est-ce que la mère fournit une préparation pour nourrissons?"
"mad_download.json","ASK: What type of formula is the baby using?","Quel type de formule est le bébé utilise?"
"mad_download.json","Visit Type","Type de visite"
"mad_download.json","Visit Date","Date de visite"
"mad_download.json","Epi Week","Epi semaine"
"mad_download.json","Month","Mois"
"mad_download.json","Year","An"
"mad_download.json","Region","Région"
"mad_download.json","District","District"
"mad_download.json","Clinic","Clinique"
"mad_download.json","Status","Statut"
"mad_download.json","Gender","Sexe"
"mad_download.json","Age (Years)","Age (Années)"
"mad_download.json","Age (Months)","Age (mois)"
"mad_download.json","Nationality","Nationalité"
"mad_download.json","Disease","Maladie"
"mad_download.json","ICD 10 Code","CIM 10 Code"
"mad_download.json","ASK: Has the child ever been vaccinated?","Est-ce que l'enfant a déjà été vacciné?"
"mad_download.json","ASK: What vaccinations has the child received?","Quels vaccins a reçu l'enfant?"
"mad_download.json","Visit Type","Type de visite"
"mad_download.json","Visit Date","Date de visite"
"mad_download.json","Epi Week","Epi semaine"
"mad_download.json","Month","Mois"
"mad_download.json","Year","An"
"mad_download.json","Region","Région"
"mad_download.json","District","District"
"mad_download.json","Clinic","Clinique"
"mad_download.json","Status","Statut"
"mad_download.json","Gender","Sexe"
"mad_download.json","Age (Years)","Age (Années)"
"mad_download.json","Age (Months)","Age (mois)"
"mad_download.json","Nationality","Nationalité"
"mad_download.json","Communicable Disease","Maladie transmissible"
"mad_download.json","ICD 10 Code","CIM 10 Code"
"mad_download.json","Ever smoked?","Déjà fumé?"
"mad_download.json","Smoke now?","Fume maintenant?"
"mad_links.py","Ongoing","En cours"
"mad_links.py","Confirmed","Confirmé"
"mad_links.py","Disregarded","Ignorée"
"mad_links.py","Referral","Référence"
"mad_links.py","Case Managment","Case Managment"
"mad_links.py","Contact Tracing","Recherche de contacts"
"mad_links.py","Laboratory Diagnosis","Diagnostic en laboratoire"
"mad_codes.csv","No of pregnant women who received IPT during first ANC visit","Nombre de femme enceinte ayant reçu TPI au CPN1"
"mad_codes.csv","No of pregnant women who received IPT during first ANC visit within 16 weeks","Nombre de femme enceinte ayant reçu TPI pour CPN1<16SA"
"mad_codes.csv","No of pregnant women who received IPT 1","Nombre de femme enceinte ayant reçu TPI1"
"mad_codes.csv","No of pregnant women who received IPT 2","Nombre de femme enceinte ayant reçu TPI2"
"mad_codes.csv","No of pregnant women who received IPT 3","Nombre de femme enceinte ayant reçu TPI3"
"mad_codes.csv","No of children under five who received a LLIN during routine distribution ","Nombre d'enfant <5a ayant reçu MID en mode routine"
"mad_codes.csv","No of pregnant women who received a LLIN during routine distribution ","Nombre de femmes enceintes ayant reçu MID en mode routine"
"mad_codes.csv","No of children under five  who received a LLIN during another mode of distribution ","Nombre d'enfant <5a ayant reçu MID en autres mode"
"mad_codes.csv","No of pregnant women who received a LLIN during another mode of distribution ","Nombre de femmes enceintes ayant reçu MID en autres mode"
"mad_codes.csv","Total","Total"
"mad_codes.csv","Male","Mâle"
"mad_codes.csv","Female","Femelle"
"mad_codes.csv","Madagascar","Madagascar"
"mad_codes.csv","Kenya","Kenya"
"mad_codes.csv","Other Nationality","Autre"
"mad_codes.csv","<5","<5"
"mad_codes.csv","5-9","5-9"
"mad_codes.csv","10-14","10-14"
"mad_codes.csv","15-19","15-19"
"mad_codes.csv","20-59","20-59"
"mad_codes.csv",">60",">60"
"mad_codes.csv","Female <5","Femelle <5"
"mad_codes.csv","Female 5-9","Femelle 5-9"
"mad_codes.csv","Female 10-14","Femelle 10-14"
"mad_codes.csv","Female 15-19","Femelle 15-19"
"mad_codes.csv","Female 20-59","Femelle 20-59"
"mad_codes.csv","Female >60","Femelle >60"
"mad_codes.csv","Male <5","Mâle <5"
"mad_codes.csv","Male 5-9","Mâle 5-9"
"mad_codes.csv","Male 10-14","Mâle 10-14"
"mad_codes.csv","Male 15-19","Mâle 15-19"
"mad_codes.csv","Male 20-59","Mâle 20-59"
"mad_codes.csv","Male >60","Mâle >60"
"mad_codes.csv","Child under 24 months","Enfant moins de 24 mois"
"mad_codes.csv","Communicable disease","Maladie transmissible"
"mad_codes.csv","Non-communicable disease","Maladie non transmissible"
"mad_codes.csv","Mental Health","Santé mentale"
"mad_codes.csv","Reproductive Health","La santé reproductive"
"mad_codes.csv","Injury","Blessure"
"mad_codes.csv","Other","Autre"
"mad_codes.csv","Acute Diarrhoea","Diarrhée aiguë"
"mad_codes.csv","Typhoid Fever","Fièvre typhoïde"
"mad_codes.csv","Bloody Diarrhoea","Diarrhée sanglante"
"mad_codes.csv","Food Poisoning","Toxi Infection Alimentaire collective (TIAC)"
"mad_codes.csv","Tuberculosis","Tuberculose"
"mad_codes.csv","Plague","Peste"
"mad_codes.csv","Leprosy","Lèpre"
"mad_codes.csv","Neonatal Tetanus","Tétanos néonatal"
"mad_codes.csv","Acute Flaccid Paralysis","Paralysie Flasque Aigüe"
"mad_codes.csv","Rabies","Rage humaine"
"mad_codes.csv","Meningitis","Méningite"
"mad_codes.csv","Arbovirus","Arbovirose suspecte"
"mad_codes.csv","Acute Haemorrhagic Fever","Fièvre hémorragique aiguë"
"mad_codes.csv","Measles / Rubella","Rougeole / Rubéole"
"mad_codes.csv","Acute Jaundice Syndrome","Ictère"
"mad_codes.csv","Malaria","Paludisme"
"mad_codes.csv","Influenza-like illness ","Syndrome grippal"
"mad_codes.csv","Seafood Poisoning","Episode d’Intoxication par consommation d’animaux marins (ICAM)"
"mad_codes.csv","Sexually Transmitted Infection","Infection sexuellement transmissible (IST) "
"mad_codes.csv","Maternal Death","Décès maternel"
"mad_codes.csv","Neonatal Death","Décès néonatal"
"mad_codes.csv","Moderate malnutrition","Malnutrition aigue modérée (MAM)"
"mad_codes.csv","Severe malnutrition","Malnutrition aigue sévère (MAS)"
"mad_codes.csv","Acute Respiratory Tract Infection","Infection respiratoire aiguë (IRA)"
"mad_codes.csv","Lymphatic Filariasis","Filariose lymphatique"
"mad_codes.csv","Animal Bite","Morsure ou griffure (animal à sang chaud)"
"mad_codes.csv","Other / Alert","Autre évènement inhabituel nécessitant une alerte"
"mad_codes.csv","Vaccinated","Vacciné"
"mad_codes.csv","BCG","BCG"
"mad_codes.csv","Hepatitis B","Hépatite B"
"mad_codes.csv","Diptheria","Diphtérie"
"mad_codes.csv","Tetanus","Tétanos"
"mad_codes.csv","Pertussis","Coqueluche"
"mad_codes.csv","Polio","Polio"
"mad_codes.csv","Haemophilus influenzae type B (HiB)","Haemophilus influenzae de type B (Hib)"
"mad_codes.csv","Measles","Rougeole"
"mad_codes.csv","Mumps","Oreillons"
"mad_codes.csv","Rubella","Rubéole"
"mad_codes.csv","Mental Health (mhGAP)","Santé mentale (mhGAP)"
"mad_codes.csv","Child Health (IMCI)","La santé des enfants (PCIME )"
"mad_codes.csv","Reproductive Health","La santé reproductive"
"mad_codes.csv","Laboratory Results","Les résultats de laboratoire"
"mad_codes.csv","Prescribing","Prescrire"
"mad_codes.csv","Pregnant women","Femmes enceintes"
"mad_codes.csv","Complications in pregnancy","Complications de la grossesse"
"mad_codes.csv","Child is breastfed","L'enfant est allaité"
"mad_codes.csv","Child is exclusively breastfed","L'enfant est allaité exclusivement"
"mad_codes.csv","Child is provided an infant formula","L'enfant est fourni une préparation pour nourrissons"
"mad_codes.csv","New Visit","Nouvelle consultation"
"mad_codes.csv","Return Visit","Consultation de suivi"
"mad_codes.csv","Referral","Cas reféré"
"mad_codes.csv","Daily Forms","Formulaires quotidiens"
"mad_codes.csv","Total Consultations","Nombre de consultations"
"mad_codes.csv","Refugee Consultations","Consultations des réfugiés"
"mad_codes.csv","Active Surveillence Fever","Fièvre surveillence active"
"mad_codes.csv","Deaths","Décès"
"mad_codes.csv","<29 days","<29 jours"
"mad_codes.csv","29 days-12 months","29 jours-12 mois"
"mad_codes.csv","1-4 years","1-4 ans"
"mad_codes.csv","5-9 years","5-9 ans"
"mad_codes.csv","10-14 years","10-14 ans"
"mad_codes.csv","15-24 years","15-24 ans"
"mad_codes.csv","25-49 years","25-49 ans"
"mad_codes.csv","50-59 years","50-59 ans"
"mad_codes.csv",">60 years",">60 ans"
"mad_codes.csv","Maternal Deaths","Décès maternel"
"mad_codes.csv","Maternal Deaths <29 days","Décès maternel <29 days"
"mad_codes.csv","Maternal Deaths 29 days-12 months","Décès maternel 29 days-12 months"
"mad_codes.csv","Maternal Deaths 1-4 years","Décès maternel 1-4 years"
"mad_codes.csv","Maternal Deaths 5-9 years","Décès maternel 5-9 years"
"mad_codes.csv","Maternal Deaths 10-14 years","Décès maternel 10-14 years"
"mad_codes.csv","Maternal Deaths 15-24 years","Décès maternel 15-24 years"
"mad_codes.csv","Maternal Deaths 25-49 years","Décès maternel 25-49 years"
"mad_codes.csv","Maternal Deaths 50-59 years","Décès maternel 50-59 years"
"mad_codes.csv","Maternal Deaths >60 years","Décès maternel >60 years"
"mad_codes.csv","Deaths icd_17","Décès icd_17"
"mad_codes.csv","Deaths icd_4183","Décès icd_4183"
"mad_codes.csv","Deaths icd_461","Décès icd_461"
"mad_codes.csv","Deaths icd_421","Décès icd_421"
"mad_codes.csv","Deaths icd_113","Décès icd_113"
"mad_codes.csv","Deaths icd_35","Décès icd_35"
"mad_codes.csv","Deaths icd_9643","Décès icd_9643"
"mad_codes.csv","Deaths icd_530","Décès icd_530"
"mad_codes.csv","Deaths icd_9225","Décès icd_9225"
"mad_codes.csv","Deaths icd_391","Décès icd_391"
"mad_codes.csv","Deaths icd_380","Décès icd_380"
"mad_codes.csv","Deaths icd_488","Décès icd_488"
"mad_codes.csv","Deaths icd_804","Décès icd_804"
"mad_codes.csv","Deaths icd_68","Décès icd_68"
"mad_codes.csv","Deaths icd_113","Décès icd_113"
"mad_codes.csv","Deaths icd_321","Décès icd_321"
"mad_codes.csv","Deaths icd_91","Décès icd_91"
"mad_codes.csv","Deaths cmd_43","Décès cmd_43"
"mad_codes.csv","Deaths icd_2194","Décès icd_2194"
"mad_codes.csv","Deaths cmd_48","Décès cmd_48"
"mad_codes.csv","Deaths icd_168","Décès icd_168"
"mad_codes.csv","Deaths icd_188","Décès icd_188"
"mad_codes.csv","Deaths icd_4177","Décès icd_4177"
"mad_codes.csv","Deaths icd_2189","Décès icd_2189"
"mad_codes.csv","Deaths epi_1","Décès epi_1"
"mad_codes.csv","Deaths icd_1","Décès icd_1"
"mad_codes.csv","Deaths epi_7","Décès epi_7"
"mad_codes.csv","Malaria","Paludisme"
"mad_codes.csv","Malaria RDT","Paludisme TDR"
"mad_codes.csv","Malaria Slide","Paludisme Slide"
"mad_codes.csv","Plague RDT","Peste TDR"
"mad_codes.csv","Plague Type ICD A20.0","Type de Peste ICD A20.0"
"mad_codes.csv","Plague Type ICD A20.2","Type de Peste ICD A20.2"
"mad_codes.csv","Cholera >5 years","Choléra >5 years"
"mad_codes.csv","01. Certain infectious and parasitic diseases","01. Certaines maladies infectieuses et parasitaires"
"mad_codes.csv","02. Neoplasms","02. Tumeurs"
"mad_codes.csv","03. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","03. Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire"
"mad_codes.csv","04. Endocrine, nutritional and metabolic diseases","04. Maladies endocriniennes, nutritionnelles et métaboliques"
"mad_codes.csv","05. Mental and behavioural disorders","05. Troubles mentaux et du comportement"
"mad_codes.csv","06. Diseases of the nervous system","06. Maladies du système nerveux"
"mad_codes.csv","07. Diseases of the eye and adnexa","07. Maladies de l'oeil et de ses annexes"
"mad_codes.csv","08. Diseases of the ear and mastoid process","08. Maladies du processus d'oreille et mastoïde"
"mad_codes.csv","09. Diseases of the circulatory system","09. Maladies de l'appareil circulatoire"
"mad_codes.csv","10. Diseases of the respiratory system","10. Maladies de l'appareil respiratoire"
"mad_codes.csv","11. Diseases of the digestive system","11. Maladies du système digestif"
"mad_codes.csv","12. Diseases of the skin and subcutaneous tissue","12. Maladies de la peau et du tissu sous-cutané"
"mad_codes.csv","13. Diseases of the musculoskeletal system and connective tissue","13. Maladies du système musculo-squelettique et du tissu conjonctif"
"mad_codes.csv","14. Diseases of the genitourinary system","14. Maladies du système génito-urinaire"
"mad_codes.csv","15. Pregnancy, childbirth and the puerperium","15. La grossesse, l'accouchement et la puerpéralité"
"mad_codes.csv","16. Certain conditions originating in the perinatal period","16. Certaines conditions originaires de la période périnatale"
"mad_codes.csv","17. Congenital malformations,deformations and chromosomal abnormalities","17. Les malformations congénitales et anomalies chromosomiques"
"mad_codes.csv","18. Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","18. Les symptômes, signes et résultats cliniques et de laboratoire anormaux, non classés ailleurs"
"mad_codes.csv","19. Injury, poisoning and certain other consequences of external causes","19. Lésions, intoxications et certaines autres conséquences de causes externes"
"mad_codes.csv","20. External causes of morbidity and mortality","20. provoque externe de la morbidité et de la mortalité"
"mad_codes.csv","21. Factors influencing health status and contact with health services","21. Facteurs influant sur l'état de santé et de contact avec les services de santé"
"mad_codes.csv","22. Codes for special purposes","22. Codes à des fins spéciales"
"mad_codes.csv","23. Other (not ICD-10 coded)","23. Autre (non CIM-10 codé)"
"mad_codes.csv","Intestinal infectious diseases","Les maladies infectieuses intestinales"
"mad_codes.csv","Tuberculosis","Tuberculose"
"mad_codes.csv","Certain zoonotic bacterial diseases","Certaines maladies bactériennes zoonotiques"
"mad_codes.csv","Other bacterial diseases","Autres maladies bactériennes"
"mad_codes.csv","Infections with a predominantly sexual mode of transmission","Les infections par un mode essentiellement sexuel de transmission"
"mad_codes.csv","Other spirochaetal diseases","Autres maladies à spirochètes"
"mad_codes.csv","Other diseases caused by chlamydiae","D'autres maladies causées par Chlamydia"
"mad_codes.csv","Rickettsioses","Rickettsioses"
"mad_codes.csv","Viral infections of the central nervous system","Les infections virales du système nerveux central"
"mad_codes.csv","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arthropodes fièvres virales et les fièvres hémorragiques virales"
"mad_codes.csv","Viral infections characterized by skin and mucous membrane lesions","Les infections virales caractérisées par des lésions cutanéo-muqueuses"
"mad_codes.csv","Viral hepatitis","Hépatite virale"
"mad_codes.csv","Human immunodeficiency virus [HIV] disease","Virus de l'immunodéficience humaine [VIH]"
"mad_codes.csv","Other viral diseases","Autres maladies virales"
"mad_codes.csv","Mycoses","Mycoses"
"mad_codes.csv","Protozoal diseases","Maladies protozoaires"
"mad_codes.csv","Helminthiases","Helminthiases"
"mad_codes.csv","Pediculosis,acariasis and other infestations","Pédiculose, acariase et d'autres infestations"
"mad_codes.csv","Sequelae of infectious and parasitic diseases","Séquelles de maladies infectieuses et parasitaires"
"mad_codes.csv","Bacterial,viral and other infectious agents","les agents infectieux bactériens, viraux et d'autres"
"mad_codes.csv","Other infectious diseases","Autres maladies infectieuses"
"mad_codes.csv","Malignant neoplasms of lip,oral cavity and pharynx","Tumeurs malignes de la lèvre, de la cavité buccale et du pharynx"
"mad_codes.csv","Malignant neoplasms of digestive organs","Tumeurs malignes des organes digestifs"
"mad_codes.csv","Malignant neoplasms of respiratory and intrathoracic organs","Tumeurs malignes des voies respiratoires et intrathoraciques organes"
"mad_codes.csv","Malignant neoplasms of bone and articular cartilage","Tumeurs malignes de l'os et du cartilage articulaire"
"mad_codes.csv","Melanoma and other malignant neoplasms of skin","Le mélanome et d'autres tumeurs malignes de la peau"
"mad_codes.csv","Malignant neoplasms of mesothelial and soft tissue","Tumeurs malignes de mésothéliales et des tissus mous"
"mad_codes.csv","Malignant neoplasm of breast","Tumeur maligne du sein"
"mad_codes.csv","Malignant neoplasms of female genital organs","Tumeurs malignes des organes génitaux féminins"
"mad_codes.csv","Malignant neoplasms of male genital organs","Tumeurs malignes des organes génitaux masculins"
"mad_codes.csv","Malignant neoplasms of urinary tract","Tumeurs malignes des voies urinaires"
"mad_codes.csv","Malignant neoplasms of eye,brain and other parts of central nervous system","Tumeurs malignes de l'œil, le cerveau et d'autres parties du système nerveux central"
"mad_codes.csv","Malignant neoplasms of thyroid and other endocrine glands","Tumeurs malignes de la thyroïde et d'autres glandes endocrines"
"mad_codes.csv","Malignant neoplasms of ill-defined,secondary and unspecified sites","Tumeurs malignes de sièges mal définis, secondaires et non précisés"
"mad_codes.csv","Malignant neoplasms,stated or presumed to be primary,of lymphoid, haematopoietic and related tissue","Tumeurs malignes, indiquées ou présumées primitives, des lymphoïde, hématopoïétique et des tissus connexes"
"mad_codes.csv","Malignant neoplasms of independent (primary) multiple sites","Tumeurs malignes des indépendants (primaire) sièges multiples"
"mad_codes.csv","In situ neoplasms","Dans néoplasmes in situ"
"mad_codes.csv","Benign neoplasms","Tumeurs bénignes"
"mad_codes.csv","Neoplasms of uncertain or unknown behaviour","Tumeurs du comportement incertain ou inconnu"
"mad_codes.csv","Nutritional anaemias","Anémies nutritionnelles"
"mad_codes.csv","Haemolytic anaemias","Anémies hémolytiques"
"mad_codes.csv","Aplastic and other anaemias","Aplasique et d'autres anémies"
"mad_codes.csv","Coagulation defects, purpura and other haemorrhagic conditions","Anomalies de la coagulation, purpura et autres affections hémorragiques"
"mad_codes.csv","Other diseases of blood and blood-forming organs","Autres maladies du sang et des organes hématopoïétiques"
"mad_codes.csv","Certain disorders involving the immune mechanism","Certains troubles du système immunitaire"
"mad_codes.csv","Disorders of thyroid gland","Les troubles de la glande thyroïde"
